url,nom
https://flyairsenegal.com,Air Sénégal
http://senegal-emergent.com,Bureau Opérationnel du Suivi du Plan Sénégal Emergent
http://www.air-dakar.org,Centre de gestion de la qualité de l'air
http://www.chnu-fann.com,Centre Hospitalier Universitaire de Fann
http://www.cncr.org,Conseil national de concertation et de coopération des ruraux
http://decpc.infoconsul.net,Direction des ExamensConcours Professionnels et Certifications
http://dtgc.au-senegal.com,Direction des Travaux Géographiques et Cartographiques
https://www.sentresor.org,Direction générale de la Comptabilité publique et du Trésor
https://www.groupeisi.com,Institut Supérieur d'Informatique
https://www.lacgaa.org,Lacgaa ucad
https://www.senfinances.org,Ministère des Finances et du Budget
https://senegal.un.org,Nations Unies Sénégal
http://www.investinsenegal.com,Promotion des Investissements et Grands Travaux
http://tele-ecole.tv,Télé Ecole
http://mairiederufisque.org,Ville de Rufisque
